Relation,File Path,Num Samples,Num Unique Objects,Sample Objects
factual/person_mother,factual/person_mother.json,994,962,"Abby May, Abiah Folger, Abigail Adams, Abigail Erick, Adelaide Antici Leopardi, Adelaide Suzanne de Sellon, Adeline Daudet, Adeline Maria de l'Étang, Adriaentje van Geertenryck, Adèle Schillinger... (+952 more)"
factual/person_father,factual/person_father.json,991,968,"Abdullah ibn Abdul-Muttalib, Abraham Ludvig Hedin, Abraham Mendelssohn Bartholdy, Abram Zimmerman, Absalom Sydenstricker, Achille Cléophas Flaubert, Adam Liszt, Adhémar Dion, Adolph Gottlieb Friedrich, Adolph von Eichendorff... (+958 more)"
factual/person_plays_position_in_sport,factual/person_plays_position_in_sport.json,952,14,"catcher, centre, closer, defender, forward, goalkeeper, goaltender, guard, linebacker, midfielder... (+4 more)"
factual/landmark_on_continent,factual/landmark_on_continent.json,947,5,"Africa, Americas, Antarctica, Asia, Europe"
factual/person_native_language,factual/person_native_language.json,919,30,"Armenian, Chinese, Croatian, Danish, Dutch, English, Finnish, French, Georgian, German... (+20 more)"
factual/landmark_in_country,factual/landmark_in_country.json,836,91,"Afghanistan, Algeria, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh... (+81 more)"
factual/person_occupation,factual/person_occupation.json,821,31,"actor, architect, astronaut, astronomer, biologist, chemist, comedian, composer, curator, detective... (+21 more)"
factual/company_hq,factual/company_hq.json,674,163,"Aberdeen, Albany, Albuquerque, Alexandria, Amsterdam, Anaheim, Ankara, Athens, Atlanta, Aurora... (+153 more)"
factual/product_by_company,factual/product_by_company.json,522,30,"Adobe, Amazon, Apple, Atari, BMW, Boeing, Chevrolet, Chrysler, Dodge, Douglas... (+20 more)"
factual/person_plays_instrument,factual/person_plays_instrument.json,513,6,"guitar, piano, singing, slide, trumpet, violin"
factual/star_constellation,factual/star_constellation.json,362,31,"Andromeda, Aquarius, Aquila, Auriga, Boötes, Cancer, Canis Major, Canis Minor, Cassiopeia, Cetus... (+21 more)"
factual/person_plays_pro_sport,factual/person_plays_pro_sport.json,318,5,"baseball, basketball, football, hockey, soccer"
factual/company_ceo,factual/company_ceo.json,298,287,"Adena Friedma, Aditya Mittal, Ajaypal Singh Banga, Akio Toyoda, Alan Jope, Alan Joyce, Alan Langlands, Albert Bourla, Alex Gorsky, Alexandre Bompard... (+277 more)"
linguistic/word_first_letter,linguistic/word_first_letter.json,241,25,"A, B, C, D, E, F, G, H, I, J... (+15 more)"
linguistic/word_last_letter,linguistic/word_last_letter.json,241,18,"A, B, D, E, G, H, K, L, M, N... (+8 more)"
factual/superhero_person,factual/superhero_person.json,100,100,"Alan Scott, Amadeus Cho, Angelica Jones, Anya Corazon, Arthur Curry, Arthur Douglas, Barbara Gordon, Barry Allen, Ben Grimm, Big Barda... (+90 more)"
linguistic/adj_antonym,linguistic/adj_antonym.json,100,95,"agitated, angry, answer, apart, appear, back, bad, below, blame, boo... (+85 more)"
factual/superhero_archnemesis,factual/superhero_archnemesis.json,96,90,"Arcane, Baron Mordo, Baron Strucker, Bishop, Black Adam, Black Manta, Black Mask, Blackfire, Bullseye, Bushman... (+80 more)"
factual/person_university,factual/person_university.json,91,69,"Aberystwyth University, Aix-Marseille University, Algiers 1 University, Azerbaijan University of Languages, Brown University, California State University, Sacramento, Carnegie Mellon University, Chopin University of Music, Columbia University, Czech Technical University in Prague... (+59 more)"
linguistic/adj_superlative,linguistic/adj_superlative.json,80,79,"angriest, best, biggest, bravest, brightest, calmest, cheapest, cleanest, coldest, craziest... (+69 more)"
linguistic/verb_past_tense,linguistic/verb_past_tense.json,76,76,"asked, ate, believed, broke, brought, built, called, came, caught, changed... (+66 more)"
